	{斜玉}
󰁜	{𠂼字心字旁}
󰁝	{𠂼字心字边}
󰁞	{𠂼字心}
󰁟	{𠂽字底}
󰁠	{𠂿字底}
󰁡	{𠃁字底}
󰁢	{𠃃字旁}
󰁣	{𠃄字旁}
󰁥	{𠃈字边字头}
󰁦	{𠃈字边字底}
󰁧	{𠃈字边}
󰁨	{𠃞字旁}
󰁩	{𠃡字旁}
󰁪	{𠃨字心}
󰁫	{𠃫字头}
󰁬	{𠃬字心}
󰁭	{𠃭字旁}
󰁮	{𠃰字底}
󰁯	{𠃹字旁}
󰁰	{𠃾字框}
󰁱	{𠃿字旁}
󰁲	{𠄀字边}
󰁳	{𠄂字旁}
󰁴	{𠄃字旁}
󰁵	{𠄄字旁}
󰁶	{𠄆字底}
󰁷	{𠄇字边}
󰁸	{𠄈字边}
󰁹	{𠄉字边}
󰁺	{𠄊字旁字头}
󰁻	{𠄊字旁}
󰁼	{𠄋字旁字头}
󰁽	{𠄋字旁}
󰁾	{𠄑字框}
󰁿	{𠄓字心}
󰂀	{𠄕字底}
󰂁	{𠄗字心}
󰂂	{𠄘字底}
󰂃	{𠄙字心}
󰂄	{𠄚字旁}
󰂅	{𠄛字边字头}
󰂆	{𠄛字边}
󰂇	{𠄢字腰}
󰂈	{𠄣字腰}
󰂉	{𠄱字底}
󰂊	{𠄲字底}
󰂋	{𠄷字头}
󰂌	{𠄷字底}
󰂍	{𠄷字底之一}
󰂎	{𠄸字头}
󰂏	{𠄸字头之一}
󰂐	{𠅂字底字心}
󰂑	{𠅂字底}
󰂒	{𠅄字底}
󰂓	{𠅆字底}
󰂔	{𠅆字底之一}
󰂕	{𠅑字腰}
󰂖	{𠅖字头}
󰂗	{𠅘字头字头}
󰂘	{𠅘字头}
󰂙	{𠅝字头}
󰂚	{𠅠字头}
󰂛	{𠅨字底}
󰂜	{𠅨字底之一}
󰂝	{𠅪字底}
󰂞	{𠅬字底}
󰂟	{𠅭字头}
󰂠	{𠅰字底}
󰂡	{𠅴字腰}
󰂢	{𠅺字腰字框}
󰂣	{𠅺字腰}
󰂤	{𠅽字旁}
󰂥	{𠆁字底}
󰂦	{𠆂字底字旁}
󰂧	{𠆂字底}
󰂨	{𠆈字腰字心}
󰂩	{𠆈字腰}
󰂪	{𠆈字底}
󰂫	{𠆉字头}
󰂬	{𠆉字腰}
󰂭	{𠆉字底字心}
󰂮	{𠆉字底}
󰂯	{𠆉字腰之一}
󰂱	{𠆉字腰之二}
󰂲	{𠆉字底之二}
󰂳	{𠆋字腰}
󰂴	{𠆌字头}
󰂵	{𠆏字底}
󰂶	{𠆑字头字底}
󰂷	{𠆑字头}
󰂸	{𠆖字腰}
󰂹	{𠆘字头}
󰂺	{𠆘字底}
󰂻	{𠆘字头字底}
󰂼	{𠆘字头之一}
󰂾	{𠆝字底}
󰂿	{𠆟字底}
󰃀	{𠆠字腰}
󰃁	{𠆠字底}
󰃂	{𠆪字底}
󰃃	{𠆭字头}
󰃄	{𠆮字边}
󰃅	{𠆰字边}
󰃆	{𠆱字边}
󰃇	{𠆹字底}
󰃈	{𠆹字底之一}
󰃉	{𠆼字边}
󰃊	{𠇇字边字框}
󰃋	{𠇇字边}
󰃌	{𠇒字边}
󰃍	{𠇓字边}
󰃎	{𠇙字边}
󰃏	{𠇛字边}
󰃐	{𠇞字边}
󰃑	{𠇡字边}
󰃒	{𠇢字边}
󰃓	{𠇪字边}
󰃔	{𠇫字边}
󰃕	{𠇬字腰}
󰃖	{𠇬字头}
󰃗	{𠇳字边}
󰃘	{𠇵字边}
󰃙	{𠇸字边}
󰃚	{𠈀字边}
󰃛	{𠈁字边}
󰃜	{𠈍字边}
󰃝	{𠈔字底}
󰃞	{𠈕字边字头}
󰃟	{𠈕字边}
󰃠	{𠈛字底}
󰃡	{𠈝字边}
󰃢	{𠈡字边}
󰃣	{𠈤字边}
󰃤	{𠈦字边}
󰃥	{𠈧字边}
󰃦	{𠈨字边}
󰃧	{𠈪字边}
󰃨	{𠈯字边}
󰃩	{𠈳字边}
󰃪	{𠈳字边之一}
󰃫	{𠈴字边}
󰃬	{𠈷字边字底}
󰃭	{𠈷字边}
󰃮	{𠈷字边之一}
󰃯	{𠈼字边}
󰃰	{𠈽字旁}
󰃱	{𠈿字边}
󰃲	{𠉀字边}
󰃳	{𠉅字边字头}
󰃴	{𠉅字边}
󰃵	{𠉈字边}
󰃶	{𠉈字边之一}
󰃷	{𠉓字底字心}
󰃸	{𠉓字底}
󰃺	{𠉔字边}
󰃻	{𠉔字边之一}
󰃼	{𠉖字边}
󰃽	{𠉘字边}
󰃾	{𠉙字底}
󰃿	{𠉙字底之一}
󰄀	{𠉚字边}
󰄁	{𠉥字中}
󰄂	{𠉨字边}
󰄃	{𠉨字边之一}
󰄄	{𠉪字边}
󰄅	{𠉬字边}
󰄆	{𠉭字底}
󰄇	{𠉺字边}
󰄈	{𠉽字底}
󰄉	{𠉽字底之一}
󰄊	{𠊂字边}
󰄋	{𠊂字边之一}
󰄌	{𠊅字边}
󰄍	{𠊅字边之一}
󰄎	{𠊆字边}
󰄏	{𠊇字边}
󰄐	{𠊊字头}
󰄑	{𠊍字底字框}
󰄒	{𠊍字底}
󰄓	{𠊍字底之一}
󰄔	{𠊒字边字心}
󰄕	{𠊒字边}
󰄖	{𠊕字边}
󰄗	{𠊗字边}
󰄙	{𠊟字边}
󰄚	{𠊣字边}
󰄛	{𠊤字边}
󰄜	{𠊦字边}
󰄝	{𠊦字边之一}
󰄞	{𠊧字边}
󰄟	{𠊯字边}
󰄠	{𠊶字边}
󰄡	{𠊶字边之一}
󰄢	{𠊸字边}
󰄣	{𠊻字边}
󰄤	{𠊻字边之一}
󰄥	{𠋋字边}
󰄦	{𠋐字边字头}
󰄧	{𠋐字边}
󰄨	{𠋓字底}
󰄩	{𠋕字边字头}
󰄪	{𠋕字边}
󰄫	{𠋗字边字心}
󰄬	{𠋗字边}
󰄭	{𠋛字边}
󰄮	{𠋛字边之一}
󰄯	{𠋜字边}
󰄰	{𠋨字边}
󰄱	{𠋭字边}
󰄲	{𠋮字边}
󰄳	{𠋮字边之一}
󰄴	{𠋰字边}
󰄵	{𠋸字边字头}
󰄶	{𠋸字边}
󰄷	{𠋽字边}
󰄸	{𠋾字边字底}
󰄹	{𠋾字边}
󰄺	{𠌀字边}
󰄻	{𠌂字底}
󰄼	{𠌆字底字旁}
󰄽	{𠌆字底}
󰄾	{𠌉字底}
󰄿	{𠌋字边}
󰅀	{𠌌字边}
󰅁	{𠌍字边}
󰅂	{𠌍字边之一}
󰅃	{𠌎字边}
󰅄	{𠌏字边字头}
󰅅	{𠌏字边}
󰅆	{𠌐字边字底}
󰅇	{𠌐字边}
󰅈	{𠌑字旁}
󰅉	{𠌔字边}
󰅊	{𠌕字底}
󰅋	{𠌚字边字头}
󰅌	{𠌚字边字底}
󰅍	{𠌚字边}
󰅎	{𠌜字边}
󰅏	{𠌞字边字头}
󰅐	{𠌞字边}
󰅑	{𠌟字边}
󰅒	{𠌠字边}
󰅓	{𠌤字边}
󰅔	{𠌤字边之一}
󰅕	{𠌪字边}
󰅖	{𠌪字边之一}
󰅗	{𠌯字边}
󰅘	{𠌰字中}
󰅙	{𠍂字边}
󰅚	{𠍇字边}
󰅛	{𠍈字边}
󰅜	{𠍋字中}
󰅝	{𠍌字边}
󰅞	{𠍍字边}
󰅟	{𠍑字边}
󰅠	{𠍔字边}
󰅡	{𠍘字底}
󰅢	{𠍙字边}
󰅣	{𠍚字边}
󰅤	{𠍛字边}
󰅥	{𠍝字边字腰}
󰅦	{𠍝字边}
󰅧	{𠍞字边}
󰅨	{𠍠字边}
󰅩	{𠍩字边字头}
󰅪	{𠍩字边}
󰅫	{𠍬字边}
󰅬	{𠍴字边}
󰅭	{𠍶字边字底}
󰅮	{𠍶字边}
󰅰	{𠍶字边之一}
󰅱	{𠍸字边字头}
󰅲	{𠍸字边}
󰅳	{𠍺字底}
󰅴	{𠍾字边}
󰅵	{𠍾字边之一}
󰅶	{𠎀字边字头}
󰅷	{𠎀字边}
󰅸	{𠎂字中}
󰅹	{𠎃字底字心}
󰅺	{𠎃字底}
󰅻	{𠎇字边字头字旁}
󰅼	{𠎇字边字头}
󰅽	{𠎇字边}
󰅾	{𠎌字边}
󰅿	{𠎔字边字底}
󰆀	{𠎔字边}
󰆁	{𠎕字边}
󰆂	{𠎕字边之一}
󰆃	{𠎖字边字头字边}
󰆄	{𠎖字边字头}
󰆅	{𠎖字边}
󰆆	{𠎖字边字头字边之一}
󰆇	{𠎖字边字头之一}
󰆈	{𠎖字边之一}
󰆉	{𠎗字边字底}
󰆊	{𠎗字边}
󰆋	{𠎘字底}
󰆌	{𠎜字旁字框字旁}
󰆍	{𠎜字旁字框}
󰆎	{𠎜字旁字心}
󰆏	{𠎜字旁}
󰆐	{𠎝字边}
󰆑	{𠎡字边}
󰆒	{𠎢字边}
󰆓	{𠎣字边}
󰆔	{𠎰字边字头}
󰆕	{𠎰字边}
󰆖	{𠎰字边字头之一}
󰆗	{𠎰字边之一}
󰆘	{𠎱字边}
󰆙	{𠎶字头}
󰆚	{𠎷字边}
󰆛	{𠎷字边之一}
󰆜	{𠎽字边}
󰆞	{𠎽字边之一}
󰆟	{𠎾字边}
󰆠	{𠏂字边字头}
󰆡	{𠏂字边}
󰆢	{𠏇字头字框}
󰆣	{𠏇字头}
󰆤	{𠏈字边字头}
󰆥	{𠏈字边}
󰆦	{𠏌字边}
󰆧	{𠏏字旁字底}
󰆨	{𠏏字旁}
󰆩	{𠏏字边}
󰆪	{𠏏字旁字底之一}
󰆫	{𠏏字旁之一}
󰆬	{𠏑字边字底}
󰆭	{𠏑字边}
󰆮	{𠏒字边}
󰆯	{𠏔字边字心}
󰆰	{𠏔字边}
󰆱	{𠏘字边}
󰆲	{𠏛字边}
󰆳	{𠏝字边}
󰆴	{𠏞字边字心}
󰆵	{𠏞字边}
󰆶	{𠏤字边}
󰆷	{𠏦字边}
󰆸	{𠏪字边}
󰆹	{𠏫字边字头}
󰆺	{𠏫字边}
󰆻	{𠏸字底}
󰆼	{𠏹字边}
󰆽	{𠏽字边}
󰆾	{𠏽字边之一}
󰆿	{𠏾字边}
󰇀	{𠐂字底字旁}
󰇁	{𠐂字底字边}
󰇂	{𠐂字底}
󰇃	{𠐃字边}
󰇄	{𠐄字边字底}
󰇅	{𠐄字边}
󰇆	{𠐜字边}
󰇇	{𠐥字边}
󰇈	{𠐨字边}
󰇉	{𠐪字边}
󰇊	{𠐫字边字腰字头}
󰇋	{𠐫字边字腰}
󰇌	{𠐫字边字底}
󰇍	{𠐫字边}
󰇎	{𠐭字边字框}
󰇏	{𠐭字边}
󰇐	{𠐰字底}
󰇑	{𠐱字旁}
󰇒	{𠐷字边}
󰇓	{𠐹字边}
󰇔	{𠑂字底字框}
󰇕	{𠑂字底}
󰇖	{𠑃字边}
󰇗	{𠑆字边}
󰇘	{𠑏字边}
󰇙	{𠑗字边}
󰇚	{𠑚字边字头字心}
󰇛	{𠑚字边字头}
󰇜	{𠑚字边}
󰇝	{𠑛字边字底}
󰇞	{𠑛字边}
󰇠	{𠑛字边之一}
󰇡	{𠑜字边}
󰇢	{𠑞字边}
󰇣	{𠑡字边}
󰇤	{𠑢字边}
󰇥	{𠑢字边之一}
󰇦	{𠑣字边}
󰇧	{𠑫字边字心}
󰇨	{𠑫字边}
󰇩	{𠑮字底字旁}
󰇪	{𠑮字底字边}
󰇫	{𠑮字底}
󰇬	{𠑯字中}
󰇭	{𠑰字底}
󰇮	{𠑳字底}
󰇯	{𠑵字边}
󰇰	{𠑸字头}
󰇱	{𠑸字头之一}
󰇲	{𠑹字心}
󰇳	{𠑺字底}
󰇴	{𠑻字底}
󰇵	{𠑼字头}
󰇶	{𠑾字底}
󰇷	{𠑿字头}
󰇸	{𠑿字头之一}
󰇹	{𠒂字头}
󰇺	{𠒃字头字心}
󰇻	{𠒃字头}
󰇼	{𠒊字头字心}
󰇽	{𠒊字头}
󰇾	{𠒍字框}
󰇿	{𠒍字框之一}
󰈀	{𠒔字旁}
󰈁	{𠒘字心}
󰈂	{𠒞字底}
󰈃	{𠒞字底之一}
󰈄	{𠒟字头}
󰈅	{𠒠字心}
󰈆	{𠒡字边}
󰈇	{𠒴字头}
󰈈	{𠒶字底}
󰈉	{𠒽字边}
󰈊	{𠓆字旁}
󰈌	{𠓆字旁之一}
󰈎	{𠓉字底}
󰈏	{𠓓字边}
󰈐	{𠓗字底}
󰈑	{𠓪字底字旁}
󰈒	{𠓪字底}
󰈔	{𠓸字腰}
󰈕	{𠔐字头}
󰈖	{𠔖字头}
󰈗	{𠔙字头字头}
󰈘	{𠔙字头}
󰈙	{𠔛字头}
󰈚	{𠔜字头}
󰈛	{𠔜字头之一}
󰈜	{𠔜字头之二}
󰈝	{𠔝字头字心}
󰈞	{𠔝字头}
󰈟	{𠔣字头}
󰈠	{𠔥字头}
󰈡	{𠔥字腰}
󰈢	{𠔧字头}
󰈣	{𠔧字头之一}
󰈤	{𠔩字腰}
󰈥	{𠔬字底}
󰈧	{𠔮字旁}
󰈨	{𠔱字头}
󰈩	{𠔲字头}
󰈪	{𠔲字底}
󰈫	{𠔳字框}
󰈬	{𠔻字头}
󰈭	{𠕂字底}
󰈮	{𠕄字心}
󰈯	{𠕉字底}
󰈰	{𠕍字底字心}
󰈱	{𠕍字底}
󰈳	{𠕗字头}
󰈴	{𠕘字心}
󰈵	{𠕙字心}
󰈶	{𠕚字心}
󰈸	{𠕜字底字心}
󰈹	{𠕜字底}
󰈺	{𠕞字底字框}
󰈻	{𠕞字底}
󰈼	{𠕞字底之一}
󰈽	{𠕢字心字底}
󰈾	{𠕢字心}
󰈿	{𠕢字心字底之一}
󰉀	{𠕢字心之一}
󰉂	{𠕢字心之二}
󰉄	{𠕢字心之三}
󰉅	{𠕬字心}
󰉆	{𠕮字底}
󰉇	{𠕮字底之一}
󰉈	{𠕯字旁字底}
󰉉	{𠕯字旁}
󰉊	{𠕯字边字心}
󰉋	{𠕯字边}
󰉌	{𠕲字心字旁字旁}
󰉍	{𠕲字心字旁}
󰉎	{𠕲字心}
󰉏	{𠖁字底字心}
󰉐	{𠖁字底}
󰉑	{𠖂字底}
󰉒	{𠖆字底}
󰉓	{𠖉字底}
󰉔	{𠖙字旁}
󰉕	{𠖙字旁之一}
󰉖	{𠖚字腰}
󰉗	{𠖠字底字旁}
󰉘	{𠖠字底}
󰉙	{𠖣字底字旁字腰字心}
󰉚	{𠖣字底字旁字腰}
󰉛	{𠖣字底字旁}
󰉜	{𠖣字底}
󰉝	{𠖦字底字旁}
󰉞	{𠖦字底}
󰉟	{𠖦字底字旁字腰字心}
󰉠	{𠖦字底字旁字腰}
󰉡	{𠖦字底字旁之一}
󰉢	{𠖦字底之一}
󰉣	{𠖧字底字旁字头}
󰉤	{𠖧字底字旁}
󰉥	{𠖧字底字边}
󰉦	{𠖧字底}
󰉧	{𠖩字底字旁}
󰉨	{𠖩字底}
󰉩	{𠖪字底字旁}
󰉪	{𠖪字底}
󰉫	{𠖱字边}
󰉬	{𠖸字边}
󰉭	{𠗀字头}
󰉮	{𠗇字边}
󰉯	{𠗑字边}
󰉰	{𠗝字边}
󰉱	{𠗩字边}
󰉳	{𠗬字边}
󰉵	{𠗬字边之一}
󰉶	{𠗭字头}
󰉷	{𠗭字头字边}
󰉸	{𠗭字头之一}
󰉹	{𠗱字边}
󰉺	{𠘀字腰}
󰉻	{𠘀字腰之一}
󰉼	{𠘀字底}
󰉽	{𠘄字边字底字旁}
󰉾	{𠘄字边字底}
󰉿	{𠘄字边}
󰊀	{𠘑字边}
󰊁	{𠘓字边}
󰊂	{𠘓字边之一}
󰊃	{𠘘字边}
󰊄	{𠘦字头字边}
󰊅	{𠘦字头}
󰊆	{𠘷字头}
󰊇	{𠘷字底}
󰊉	{𠘹字框}
󰊊	{𠘹字框之一}
󰊋	{𠘽字头}
󰊌	{𠘿字头}
󰊍	{𠙒字心}
󰊎	{𠙔字心}
󰊏	{𠙖字头}
󰊐	{𠙗字心}
󰊒	{𠙘字心}
󰊔	{𠙘字心之一}
󰊕	{𠙙字头}
󰊖	{𠙙字头之一}
󰊗	{𠙙字头之二}
󰊘	{𠙝字头字边}
󰊙	{𠙝字头}
󰊚	{𠙡字头}
󰊛	{𠙢字底}
󰊜	{𠙥字头字边}
󰊝	{𠙥字头}
󰊞	{𠙧字头}
󰊟	{𠙧字头字心}
󰊠	{𠙧字头之一}
󰊡	{𠙨字腰}
󰊢	{𠙩字头}
󰊣	{𠙬字心}
󰊤	{𠙭字头}
󰊥	{𠙯字腰}
󰊦	{𠙲字底}
󰊧	{𠙿字头}
󰊨	{𠚋字底}
󰊩	{𠚎字底}
󰊪	{𠚏字头}
󰊫	{𠚒字框}
󰊬	{𠚔字底}
󰊭	{𠚙字头}
󰊮	{𠚙字底字旁}
󰊯	{𠚙字底}
󰊰	{𠚚字框字心}
󰊱	{𠚚字框}
󰊲	{𠚛字底}
󰊳	{𠚝字框}
󰊴	{𠚟字底}
󰊵	{𠚠字框字旁字底}
󰊶	{𠚠字框字旁}
󰊷	{𠚠字框}
󰊸	{𠚭字旁}
󰊹	{𠚲字旁}
󰊺	{𠚻字旁}
󰊻	{𠛂字旁}
󰊽	{𠛏字旁}
󰊾	{𠛘字旁}
󰊿	{𠛙字旁}
󰋀	{𠛚字旁}
󰋁	{𠛛字旁}
󰋂	{𠛦字框字框}
󰋃	{𠛦字框}
󰋄	{𠛯字旁}
󰋅	{𠛲字旁字底}
󰋆	{𠛲字旁}
󰋇	{𠛴字旁}
󰋈	{𠛶字旁}
󰋉	{𠛷字中}
󰋊	{𠛷字中之一}
󰋋	{𠛹字旁字框}
󰋌	{𠛹字旁}
󰋍	{𠛻字旁}
󰋎	{𠛽字旁}
󰋏	{𠜂字旁}
󰋐	{𠜋字旁}
󰋑	{𠜌字头}
󰋒	{𠜐字旁}
󰋓	{𠜔字旁}
󰋔	{𠜝字旁}
󰋕	{𠜞字旁}
󰋖	{𠜡字头}
󰋗	{𠜢字旁}
󰋘	{𠜦字底}
󰋙	{𠜨字边}
󰋚	{𠜫字旁}
󰋛	{𠜰字旁字底字心}
󰋜	{𠜰字旁字底}
󰋝	{𠜰字旁}
󰋞	{𠜵字头}
󰋟	{𠜷字旁}
󰋠	{𠜽字旁}
󰋡	{𠜽字旁之一}
󰋢	{𠝀字旁}
󰋣	{𠝀字旁之一}
󰋤	{𠝃字旁}
󰋥	{𠝄字旁}
󰋦	{𠝅字旁字框}
󰋧	{𠝅字旁}
󰋨	{𠝆字旁}
󰋩	{𠝈字头}
󰋪	{𠝉字旁字底}
󰋫	{𠝉字旁}
󰋬	{𠝌字旁}
󰋭	{𠝎字旁}
󰋮	{𠝚字旁}
󰋯	{𠝛字旁}
󰋰	{𠝦字旁字底字边}
󰋱	{𠝦字旁字底}
󰋲	{𠝦字旁}
󰋳	{𠝧字头}
󰋴	{𠝪字旁}
󰋵	{𠝰字旁字底}
󰋶	{𠝰字旁}
󰋷	{𠝱字旁}
󰋸	{𠝴字旁字心}
󰋹	{𠝴字旁}
󰋺	{𠞇字旁字底}
󰋻	{𠞇字旁}
󰋼	{𠞋字旁}
󰋽	{𠞍字旁}
󰋾	{𠞐字旁}
󰋿	{𠞑字旁字底}
󰌀	{𠞑字旁}
󰌁	{𠞒字旁}
󰌂	{𠞔字旁}
󰌃	{𠞘字旁}
󰌄	{𠞜字旁字底}
󰌅	{𠞜字旁}
󰌆	{𠞝字旁}
󰌇	{𠞤字旁字底}
󰌈	{𠞤字旁}
󰌉	{𠞨字旁}
󰌊	{𠞲字头}
󰌋	{𠞲字底}
󰌌	{𠞳字旁}
󰌍	{𠞷字旁字头}
󰌎	{𠞷字旁}
󰌏	{𠞼字旁}
󰌐	{𠟑字旁}
󰌑	{𠟔字旁}
󰌒	{𠟖字旁}
󰌔	{𠟖字旁之一}
󰌕	{𠟗字旁}
󰌖	{𠟗字旁之一}
󰌗	{𠟘字旁}
󰌘	{𠟛字旁}
󰌙	{𠟤字旁}
󰌚	{𠟱字旁字头}
󰌛	{𠟱字旁}
󰌜	{𠟲字旁字头}
󰌝	{𠟲字旁}
󰌞	{𠟳字边}
󰌟	{𠟳字边字底}
󰌠	{𠟳字边之一}
󰌡	{𠟴字旁字头字头}
󰌢	{𠟴字旁字头}
󰌣	{𠟴字旁}
󰌤	{𠟵字旁}
󰌥	{𠟻字旁}
󰌦	{𠟼字旁字腰}
󰌧	{𠟼字旁}
󰌨	{𠟼字旁字腰之一}
󰌩	{𠟼字旁之一}
󰌪	{𠟾字旁字底}
󰌫	{𠟾字旁}
󰌬	{𠟾字旁字底之一}
󰌭	{𠟾字旁之一}
󰌮	{𠠃字旁字底}
󰌯	{𠠃字旁}
󰌰	{𠠆字旁字头}
󰌱	{𠠆字旁}
󰌲	{𠠇字旁}
󰌳	{𠠌字旁字底}
󰌴	{𠠌字旁}
󰌵	{𠠓字旁}
󰌶	{𠠗字旁}
󰌷	{𠠡字旁}
󰌸	{𠠤字旁}
󰌹	{𠠥字旁}
󰌺	{𠡀字框}
󰌻	{𠡔字旁}
󰌼	{𠡕字旁}
󰌽	{𠡦字心}
󰌾	{𠡱字旁}
󰌿	{𠡹字头字旁}
󰍀	{𠡹字头}
󰍁	{𠡾字旁}
󰍂	{𠡿字头}
󰍃	{𠢀字旁}
󰍄	{𠢁字旁}
󰍅	{𠢁字旁字心}
󰍆	{𠢁字旁之一}
󰍇	{𠢁字旁之二}
󰍈	{𠢂字旁}
󰍉	{𠢄字旁}
󰍊	{𠢄字旁之一}
󰍋	{𠢅字框}
󰍌	{𠢊字头}
󰍍	{𠢑字旁}
󰍎	{𠢒字旁}
󰍏	{𠢒字旁之一}
󰍐	{𠢖字框}
󰍑	{𠢛字头}
󰍒	{𠢯字旁字底字底}
󰍓	{𠢯字旁字底}
󰍔	{𠢯字旁}
󰍕	{𠢯字旁之一}
󰍖	{𠢰字旁字头}
󰍗	{𠢰字旁字底}
󰍘	{𠢰字旁}
󰍙	{𠢴字旁}
󰍚	{𠢻字旁}
󰍛	{𠢻字旁之一}
󰍜	{𠢼字旁}
󰍝	{𠢾字旁}
󰍞	{𠣊字旁}
󰍟	{𠣋字旁}
󰍠	{𠣐字心}
󰍡	{𠣡字心}
󰍢	{𠣢字底}
󰍤	{𠣤字心}
󰍥	{𠣧字头}
󰍨	{𠣱字心}
󰍩	{𠣲字心}
󰍪	{𠣹字心}
󰍫	{𠤀字旁}
󰍬	{𠤂字心字边}
󰍭	{𠤂字心}
󰍮	{𠤄字心}
󰍯	{𠤈字心}
󰍰	{𠤛字底字框字旁}
󰍱	{𠤛字底字框}
󰍲	{𠤛字底}
󰍳	{𠤜字旁字头}
󰍴	{𠤜字旁}
󰍵	{𠤜字旁字头之一}
󰍶	{𠤜字旁之一}
󰍷	{𠤜字旁之二}
󰍸	{𠤞字底}
󰍺	{𠤡字旁}
󰍻	{𠤣字头}
󰍼	{𠤨字边}
󰍽	{𠤪字头}
󰍾	{𠤶字心字旁}
󰍿	{𠤶字心}
󰎀	{𠤺字心字心}
󰎁	{𠤺字心}
󰎂	{𠥅字心}
󰎃	{𠥆字心}
󰎄	{𠥚字心字旁}
󰎅	{𠥚字心}
󰎆	{𠥛字心字腰}
󰎇	{𠥛字心字底}
󰎈	{𠥛字心}
󰎉	{𠥛字心字腰之一}
󰎋	{𠥛字心之一}
󰎌	{𠥝字心}
󰎍	{𠥞字心字旁}
󰎎	{𠥞字心}
󰎏	{𠥟字心}
󰎐	{𠥡字心字心}
󰎑	{𠥡字心}
󰎒	{𠥤字心}
󰎓	{𠥲字心}
󰎕	{𠦁字框}
󰎗	{𠦑字框}
󰎘	{𠦑字心}
󰎙	{𠦖字底}
󰎚	{𠦚字底}
󰎛	{𠦚字心}
󰎜	{𠦣字旁字头}
󰎝	{𠦣字旁}
󰎞	{𠦤字底}
󰎟	{𠦥字头}
󰎠	{𠦨字头字旁}
󰎡	{𠦨字头字边}
󰎢	{𠦨字头}
󰎣	{𠦴字心}
󰎤	{𠦵字头}
󰎥	{𠦵字头之一}
󰎦	{𠦶字底}
󰎧	{𠦶字底之一}
󰎨	{𠦸字头}
󰎩	{𠦺字旁字头字框}
󰎪	{𠦺字旁字头}
󰎫	{𠦺字旁}
󰎬	{𠦼字头}
󰎭	{𠧉字底字心}
󰎮	{𠧉字底}
󰎯	{𠧊字旁字头}
󰎰	{𠧊字旁}
󰎱	{𠧎字腰}
󰎲	{𠧎字腰之一}
󰎳	{𠧏字腰}
󰎴	{𠧑字头}
󰎵	{𠧑字腰}
󰎶	{𠧖字底}
󰎷	{𠧘字框}
󰎹	{𠧜字底之一}
󰎺	{𠧝字底}
󰎻	{𠧣字底}
󰎼	{𠧥字旁}
󰎽	{𠧦字底}
󰎾	{𠧧字底}
󰎿	{𠧰字底}
󰏀	{𠧱字框}
󰏁	{𠧱字框之一}
󰏂	{𠧲字底}
󰏃	{𠧳字底字心}
󰏄	{𠧳字底}
󰏅	{𠧺字腰}
󰏆	{𠧼字底字心}
󰏇	{𠧼字底}
󰏈	{𠧽字框}
󰏉	{𠧿字底字心}
󰏊	{𠧿字底}
󰏋	{𠨀字头}
󰏌	{𠨁字底}
󰏍	{𠨂字旁}
󰏎	{𠨅字框}
󰏏	{𠨅字框之一}
󰏐	{𠨆字腰字心}
󰏑	{𠨆字腰}
󰏒	{𠨆字腰字心之一}
󰏓	{𠨆字腰之一}
󰏔	{𠨇字腰}
󰏕	{𠨈字腰}
󰏖	{𠨈字腰之一}
󰏗	{𠨉字框字头}
󰏘	{𠨉字框}
󰏙	{𠨋字底}
󰏚	{𠨌字腰}
󰏛	{𠨌字底}
󰏜	{𠨕字底}
󰏝	{𠨝字旁}
󰏞	{𠨦字旁}
󰏟	{𠨨字头字心字心}
󰏠	{𠨨字头字心}
󰏡	{𠨨字头}
󰏢	{𠨩字头}
󰏣	{𠨰字心}
󰏤	{𠩀字心}
󰏦	{𠩄字心}
󰏧	{𠩄字心之一}
󰏨	{𠩍字心字边}
󰏩	{𠩍字心}
󰏪	{𠩐字心}
󰏫	{𠩑字心}
󰏬	{𠩑字心之一}
󰏭	{𠩒字心}
󰏮	{𠩔字心}
󰏯	{𠩔字心之一}
󰏰	{𠩖字底}
󰏱	{𠩞字心}
󰏲	{𠩞字心之一}
󰏳	{𠩤字心}
󰏴	{𠩧字心}
󰏵	{𠩮字心}
󰏶	{𠩯字心}
󰏷	{𠩰字心}
󰏸	{𠩳字心字心}
󰏹	{𠩳字心}
󰏺	{𠩴字心}
󰏻	{𠩺字头}
󰏼	{𠩼字心}
󰏽	{𠩽字心}
󰏾	{𠩿字心字框}
󰏿	{𠩿字心}
󰐀	{𠪈字心}
󰐁	{𠪊字心}
󰐂	{𠪍字心}
󰐃	{𠪏字心}
󰐄	{𠪏字心之一}
󰐅	{𠪒字心}
󰐆	{𠪕字框}
󰐇	{𠪕字心字心}
󰐈	{𠪕字心}
󰐊	{𠪕字心之一}
󰐋	{𠪛字心}
󰐌	{𠪟字心}
󰐍	{𠪤字心}
󰐎	{𠪦字心}
󰐏	{𠪧字旁}
󰐐	{𠪨字心}
󰐑	{𠪫字心字旁}
󰐒	{𠪫字心}
󰐓	{𠪫字心之一}
󰐔	{𠪬字心}
󰐕	{𠪬字心之一}
󰐖	{𠪰字心}
󰐗	{𠪱字心}
󰐘	{𠪳字框}
󰐙	{𠪳字心}
󰐚	{𠪳字心字头}
󰐛	{𠪳字心之一}
󰐜	{𠪵字心}
󰐝	{𠪶字心}
󰐞	{𠪹字心字头}
󰐟	{𠪹字心}
󰐠	{𠪽字心字旁}
󰐡	{𠪽字心}
󰐢	{𠫁字心}
